fecha,trabajadores,ingreso,inp
31/08/1997,1997781,196478300000.00,31.803502
30/09/1997,2019074,219967500000.00,32.199613
31/10/1997,2040349,248722300000.00,32.456941
30/11/1997,2063920,277009900000.00,32.820042
31/12/1997,2031712,312115300000.00,33.279875
31/01/1998,2030726,40364300000.00,34.003924
28/02/1998,2041103,66771200000.00,34.599238
31/03/1998,2056720,99634300000.00,35.004533
30/04/1998,2066760,137115000000.00,35.332042
31/05/1998,2066739,165565400000.00,35.613481
30/06/1998,2080006,195246400000.00,36.03442
31/07/1998,2092498,229801400000.00,36.381878
31/08/1998,2104295,262816800000.00,36.731632
30/09/1998,2113478,292617200000.00,37.327376
31/10/1998,2127180,330791100000.00,37.862269
30/11/1998,2132892,362324000000.00,38.532786
31/12/1998,2094748,404225200000.00,39.472974
31/01/1999,2082012,51505400000.00,40.46977
28/02/1999,2092953,86364300000.00,41.013643
31/03/1999,2103458,130962900000.00,41.394684
30/04/1999,2113424,180027600000.00,41.774577
31/05/1999,2121664,218674400000.00,42.025877
30/06/1999,2127329,256625000000.00,42.302006
31/07/1999,2135847,299331700000.00,42.58158
31/08/1999,2150026,345533900000.00,42.821255
30/09/1999,2162672,383161100000.00,43.235018
31/10/1999,2176648,425891400000.00,43.508851
30/11/1999,2199646,465335400000.00,43.895776
31/12/1999,2163524,521682400000.00,44.335516
31/01/2000,2166242,62235700000.00,44.93083
29/02/2000,2179928,103894900000.00,45.32938
31/03/2000,2194359,149154100000.00,45.580681
30/04/2000,2194102,203889500000.00,45.840018
31/05/2000,2211483,247391400000.00,46.011379
30/06/2000,2221896,292051700000.00,46.28392
31/07/2000,2231644,343446400000.00,46.464466
31/08/2000,2235758,391874900000.00,46.719785
30/09/2000,2231049,433836100000.00,47.061072
31/10/2000,2246982,487830300000.00,47.385136
30/11/2000,2259934,537335800000.00,47.790288
31/12/2000,2211549,581703400000.00,48.307671
31/01/2001,2198707,71272900000.00,48.575476
28/02/2001,2203582,119837900000.00,48.543328
31/03/2001,2201602,168003600000.00,48.850888
30/04/2001,2209909,233823200000.00,49.097309
31/05/2001,2208971,278334300000.00,49.20997
30/06/2001,2204580,328016000000.00,49.326364
31/07/2001,2214810,384041600000.00,49.198202
31/08/2001,2213246,443061500000.00,49.489688
30/09/2001,2210199,490627500000.00,49.950381
31/10/2001,2222841,548806600000.00,50.176135
30/11/2001,2232626,599549300000.00,50.365149
31/12/2001,2184227,654870300000.00,50.434899
31/01/2002,2174581,79678000000.00,50.900472
28/02/2002,2181738,133842600000.00,50.86775
31/03/2002,2169495,186354600000.00,51.127948
30/04/2002,2185288,260449500000.00,51.407235
31/05/2002,2193416,322203600000.00,51.511429
30/06/2002,2188666,380822200000.00,51.762586
31/07/2002,2198713,440748700000.00,51.911181
31/08/2002,2190315,498958100000.00,52.10856
30/09/2002,2194751,553368100000.00,52.421984
31/10/2002,2206763,611542400000.00,52.653036
30/11/2002,2217821,668275000000.00,53.078877
31/12/2002,2181538,728283800000.00,53.30993
31/01/2003,2167244,81108000000.00,53.525441
28/02/2003,2171695,136172100000.00,53.674122
31/03/2003,2177394,211418200000.00,54.01293
30/04/2003,2180697,277079500000.00,54.105144
31/05/2003,2174820,338886700000.00,53.93056
30/06/2003,2174261,402778000000.00,53.975112
31/07/2003,2174058,464931300000.00,54.053339
31/08/2003,2170440,527266100000.00,54.21549
30/09/2003,2180200,588915800000.00,54.538238
31/10/2003,2201892,646977700000.00,54.738207
30/11/2003,2209548,706567500000.00,55.192542
31/12/2003,2177273,768045300000.00,55.429811
31/01/2004,2163179,84413200000.00,55.774317
29/02/2004,2168953,143705500000.00,56.107945
31/03/2004,2191139,223782500000.00,56.298071
30/04/2004,2195912,298514400000.00,56.383032
31/05/2004,2201847,359604600000.00,56.241603
30/06/2004,2205756,419913800000.00,56.331745
31/07/2004,2207726,476498000000.00,56.47939
31/08/2004,2216936,534643500000.00,56.828041
30/09/2004,2226585,591648800000.00,57.297917
31/10/2004,2236866,648265200000.00,57.694747
30/11/2004,2256813,705696100000.00,58.186899
31/12/2004,2219026,769385800000.00,58.307088
31/01/2005,2210141,85482600000.00,58.30916
28/02/2005,2223476,146142300000.00,58.503431
31/03/2005,2230035,222855700000.00,58.767121
30/04/2005,2244635,305259500000.00,58.976415
31/05/2005,2256989,368358300000.00,58.828251
30/06/2005,2265485,431312100000.00,58.771783
31/07/2005,2274857,495787700000.00,59.0018
31/08/2005,2307552,559795300000.00,59.072255
30/09/2005,2323208,617595200000.00,59.309006
31/10/2005,2337303,677770100000.00,59.45458
30/11/2005,2345139,742025700000.00,59.882493
31/12/2005,2307721,810510900000.00,60.250312
31/01/2006,2304556,93171800000.00,60.603626
28/02/2006,2317982,158932800000.00,60.696358
31/03/2006,2333458,239184500000.00,60.772512
30/04/2006,2337546,336797100000.00,60.861617
31/05/2006,2355111,408885800000.00,60.590675
30/06/2006,2370957,479916700000.00,60.642998
31/07/2006,2379293,560879200000.00,60.809294
31/08/2006,2389987,627875600000.00,61.119609
30/09/2006,2407016,691493200000.00,61.736612
31/10/2006,2427348,757013200000.00,62.006519
30/11/2006,2449839,823621300000.00,62.331857
31/12/2006,2406448,890078200000.00,62.692424
31/01/2007,2405522,104248400000.00,63.016208
28/02/2007,2426831,179793700000.00,63.192347
31/03/2007,2440303,267770500000.00,63.329113
30/04/2007,2455375,381774900000.00,63.291295
31/05/2007,2461380,454146000000.00,62.982534
30/06/2007,2477382,534465300000.00,63.05817
31/07/2007,2488029,610376200000.00,63.326005
31/08/2007,2497780,688301400000.00,63.583996
30/09/2007,2506830,759499800000.00,64.077703
31/10/2007,2526734,829105600000.00,64.327405
30/11/2007,2550495,910277200000.00,64.781221
31/12/2007,2501321,1002670000000.00,65.049056
31/01/2008,2490538,116136300000.00,65.350564
29/02/2008,2507073,212159300000.00,65.544834
31/03/2008,2507313,287281000000.00,66.019891
30/04/2008,2519446,384608500000.00,66.170127
31/05/2008,2523195,458895500000.00,66.098635
30/06/2008,2537057,536923600000.00,66.372168
31/07/2008,2541397,611430300000.00,66.742059
31/08/2008,2543205,680482100000.00,67.127492
30/09/2008,2548003,748940200000.00,67.584935
31/10/2008,2563836,827687400000.00,68.045486
30/11/2008,2560545,906117800000.00,68.818942
31/12/2008,2512557,994552300000.00,69.295552
31/01/2009,2486751,123472800000.00,69.456149
28/02/2009,2481301,221002200000.00,69.609494
31/03/2009,2482461,332022600000.00,70.00995
30/04/2009,2478607,428376800000.00,70.25499
31/05/2009,2470353,509536100000.00,70.050358
30/06/2009,2471963,608248200000.00,70.179354
31/07/2009,2467713,696798400000.00,70.370516
31/08/2009,2474643,783027100000.00,70.538884
30/09/2009,2478327,867196900000.00,70.892716
31/10/2009,2451791,952572500000.00,71.107191
30/11/2009,2474378,1035992800000.00,71.476046
31/12/2009,2439713,1129552600000.00,71.771855
31/01/2010,2434540,143806700000.00,72.552046
01/02/2010,2449893,242970400000.00,72.971671
31/03/2010,2453919,353773700000.00,73.489725
30/04/2010,2469285,458810200000.00,73.255565
31/05/2010,2483935,549474000000.00,72.793978
30/06/2010,2493622,650176600000.00,72.771183
31/07/2010,2506074,747902900000.00,72.92919
31/08/2010,2517850,849009000000.00,73.13175
30/09/2010,2530358,949375300000.00,73.51511
31/10/2010,2558806,1050653800000.00,73.968926
30/11/2010,2579914,1145083600000.00,74.561581
31/12/2010,2551898,1260425000000.00,74.930954
31/01/2011,2543590,151963900000.00,75.295991
28/02/2011,2559404,249812900000.00,75.57846
31/03/2011,2578066,368722100000.00,75.723451
30/04/2011,2588484,473996000000.00,75.717441
31/05/2011,2600970,568972000000.00,75.159264
30/06/2011,2608982,664768300000.00,75.155508
31/07/2011,2616359,760806100000.00,75.516107
31/08/2011,2630183,854275300000.00,75.635555
30/09/2011,2648699,960038600000.00,75.821113
31/10/2011,2671379,1065135200000.00,76.332712
30/11/2011,2689417,1170648200000.00,77.158333
31/12/2011,2649297,1294054100000.00,77.792385
31/01/2012,2644580,142789900000.00,78.343049
29/02/2012,2655829,248083800000.00,78.502314
31/03/2012,2674771,354794400000.00,78.547389
30/04/2012,2689806,464972200000.00,78.30098
31/05/2012,2697835,548393400000.00,78.053819
30/06/2012,2728671,657919600000.00,78.413667
31/07/2012,2746838,772518000000.00,78.853897
31/08/2012,2753350,879345700000.00,79.09054
30/09/2012,2770166,988936700000.00,79.439119
31/10/2012,2797782,1091066300000.00,79.841036
30/11/2012,2811845,1198472200000.00,80.383437
31/12/2012,2778785,1314439600000.00,80.568243
31/01/2013,2774011,160726900000.00,80.892782
28/02/2013,2796538,291264700000.00,81.290943
31/03/2013,2809641,405842300000.00,81.887433
30/04/2013,2830096,530081300000.00,81.941523
31/05/2013,2849053,660226400000.00,81.66882
30/06/2013,2857668,789186500000.00,81.619238
31/07/2013,2869270,925198800000.00,81.592193
31/08/2013,2874580,1050858300000.00,81.824328
30/09/2013,2892872,1170802100000.00,82.13234
31/10/2013,2917272,1290681900000.00,82.522988
30/11/2013,2941308,1413901400000.00,83.292265
31/12/2013,2893950,1561751600000.00,83.770058
31/01/2014,2884484,207890500000.00,84.519052
28/02/2014,2906040,335108300000.00,84.733157
31/03/2014,2923496,483804600000.00,84.965292
30/04/2014,2939409,655520400000.00,84.806779
31/05/2014,2960638,788189900000.00,84.535579
30/06/2014,2974452,923932800000.00,84.682072
31/07/2014,2983116,1067550100000.00,84.914959
31/08/2014,2994722,1210583800000.00,85.219965
30/09/2014,3018440,1346596000000.00,85.59634
31/10/2014,3051181,1492552500000.00,86.069626
30/11/2014,3070744,1636400400000.00,86.763778
31/12/2014,3030217,1807813800000.00,87.188984
31/01/2015,3023402,241470700000.00,87.110103
28/02/2015,3049979,415273500000.00,87.275377
31/03/2015,3064624,665286000000.00,87.630717
30/04/2015,3078659,872428100000.00,87.40384
31/05/2015,3089727,1043427200000.00,86.967366
30/06/2015,3111105,1228942900000.00,87.113108
31/07/2015,3128226,1419020100000.00,87.24082
31/08/2015,3139438,1610471300000.00,87.424875
30/09/2015,3151052,1793324700000.00,87.752419
31/10/2015,3174023,1971272500000.00,88.203919
30/11/2015,3201296,2149516200000.00,88.685468
31/12/2015,3139486,2366465600000.00,89.046818
31/01/2016,3139512,244659000000.00,89.386381
29/02/2016,3161961,440265300000.00,89.777781
31/03/2016,3166855,723164300000.00,89.910001
30/04/2016,3185524,960845700000.00,89.625278
31/05/2016,3195480,1169648500000.00,89.225615
30/06/2016,3211260,1393106600000.00,89.324028
31/07/2016,3229719,1625975900000.00,89.556914
31/08/2016,3243623,1826909100000.00,89.809333
30/09/2016,3269680,2041699500000.00,90.357744
31/10/2016,3303392,2238760700000.00,90.906154
30/11/2016,3315681,2458150700000.00,91.616834
31/12/2016,3269700,2716219100000.00,92.039035
31/01/2017,3268188,257123000000.00,93.603882
28/02/2017,3289987,482984900000.00,94.14478
31/03/2017,3305168,732530900000.00,94.722489
30/04/2017,3302435,1012738000000.00,94.838933
31/05/2017,3314990,1235623200000.00,94.725494
30/06/2017,3327396,1468911700000.00,94.96364
31/07/2017,3337515,1722234800000.00,95.322736
31/08/2017,3350411,1953783400000.00,95.793768
30/09/2017,3361447,2177176800000.00,96.093515
31/10/2017,3383834,2382282500000.00,96.698269
30/11/2017,3400722,2595271900000.00,97.695174
31/12/2017,3344459,2849528700000.00,98.272883
31/01/2018,3340440,298217000000.00,98.795
28/02/2018,3365468,536572600000.00,99.171374
31/03/2018,3375264,784411700000.00,99.492157
30/04/2018,3405744,1078278900000.00,99.154847
31/05/2018,3410553,1306361300000.00,98.99408
30/06/2018,3410561,1558076600000.00,99.376465
31/07/2018,3429447,1833150800000.00,99.909099
31/08/2018,3433832,2067470300000.00,100.492
30/09/2018,3448346,2299285700000.00,100.917
31/10/2018,3481954,2545587400000.00,101.44
30/11/2018,3488961,2790797400000.00,102.303
31/12/2018,3410841,3062334000000.00,103.02
31/01/2019,3397499,318497400000.00,103.108
28/02/2019,3412383,577751500000.00,103.079
31/03/2019,3424724,857996400000.00,103.476
30/04/2019,3431043,1173543400000.00,103.531
31/05/2019,3452240,1425810700000.00,103.233
30/06/2019,3455126,1694099200000.00,103.299
31/07/2019,3467965,1958257000000.00,103.687
31/08/2019,3471446,2202628100000.00,103.67
30/09/2019,3496237,2445507900000.00,103.942
31/10/2019,3528633,2685308200000.00,104.503
30/11/2019,3540813,2921522600000.00,105.346
31/12/2019,3470048,3202650700000.00,105.934
31/01/2020,3434243,364600700000.00,106.447
29/02/2020,3447038,628353600000.00,106.889
31/03/2020,3435535,1004733300000.00,106.838
30/04/2020,3329731,1277850000000.00,105.755
31/05/2020,3272727,1499452200000.00,106.162
30/06/2020,3263299,1748838200000.00,106.743
31/07/2020,3257082,2004224900000.00,107.444
31/08/2020,3251617,2262507800000.00,107.867
30/09/2020,3248637,2505151300000.00,108.114
31/10/2020,3285539,2761712000000.00,108.774
30/11/2020,3309725,3024272300000.00,108.856
31/12/2020,3246669,3338943100000.00,109.271
31/01/2021,3217900,355562200000.00,110.21
28/02/2021,3216913,620519700000.00,110.907
31/03/2021,3213626,1024010800000.00,111.824
